Removed Pin From Net: NetName=5V Pin=C25-2
Removed Pin From Net: NetName=3.8V Pin=C29-2
Removed Pin From Net: NetName=5V Pin=C31-1
Removed Pin From Net: NetName=3.3V Pin=C35-2
Removed Pin From Net: NetName=3.3V Pin=C36-2
Removed Pin From Net: NetName=GND Pin=D9-2
Removed Pin From Net: NetName=GND Pin=D11-2
Removed Pin From Net: NetName=5V Pin=L3-2
Removed Pin From Net: NetName=IO34 Pin=P1-4
Removed Pin From Net: NetName=IO35 Pin=P1-5
Removed Pin From Net: NetName=IO32 Pin=P1-6
Removed Pin From Net: NetName=IO33 Pin=P1-7
Removed Pin From Net: NetName=IO25 Pin=P1-8
Removed Pin From Net: NetName=IO26 Pin=P1-9
Removed Pin From Net: NetName=IO27 Pin=P1-10
Removed Pin From Net: NetName=IO14 Pin=P1-11
Removed Pin From Net: NetName=IO12 Pin=P1-12
Removed Pin From Net: NetName=IO13 Pin=P1-13
Removed Pin From Net: NetName=IO23 Pin=P2-1
Removed Pin From Net: NetName=IO22 Pin=P2-2
Removed Pin From Net: NetName=SD2 Pin=P2-3
Removed Pin From Net: NetName=SD3 Pin=P2-4
Removed Pin From Net: NetName=IO21 Pin=P2-5
Removed Pin From Net: NetName=IO5 Pin=P2-8
Removed Pin From Net: NetName=SD0 Pin=P2-9
Removed Pin From Net: NetName=SD1 Pin=P2-10
Removed Pin From Net: NetName=IO4 Pin=P2-11
Removed Pin From Net: NetName=IO2 Pin=P2-12
Removed Pin From Net: NetName=IO15 Pin=P2-13
Removed Pin From Net: NetName=3.3V Pin=P2-15
Removed Pin From Net: NetName=5V Pin=R21-2
Removed Pin From Net: NetName=NetD9_1 Pin=R25-1
Removed Pin From Net: NetName=3.3V Pin=R25-2
Removed Pin From Net: NetName=3.8V Pin=R30-2
Removed Member From Class: ClassName=ESP_GSM_IOT Member=D11
Removed Member From Class: ClassName=ESP_GSM_IOT Member=R30
Change Component Footprint: Designator=C26 Old Footprint=0603 New Footprint=6-0805_N
Change Component Footprint: Designator=C28 Old Footprint=0603 New Footprint=6-0805_N
Change Component Footprint: Designator=C29 Old Footprint=0603 New Footprint=6-0805_N
Change Component Footprint: Designator=C33 Old Footprint=0603 New Footprint=6-0805_N
Change Component Footprint: Designator=C35 Old Footprint=0603 New Footprint=6-0805_N
Change Component Footprint: Designator=C36 Old Footprint=0603 New Footprint=6-0805_N
Change Component Footprint: Designator=R25 Old Footprint=0603 New Footprint=6-0805_N
Change Component Footprint: Designator=D2 Old Footprint=LED 0805_2012 RED New Footprint=LED 0805_2012 BLUE
Change Component Footprint: Designator=D9 Old Footprint=LED 0805_2012 RED New Footprint=LITEON LTV-817
Change Component Comment : Designator=D2 Old Comment= New Comment=Blue
Change Component Comment : Designator=D9 Old Comment=LED-RED New Comment=LTV-817S-TA1
Change Component Comment : Designator=R25 Old Comment=R510 New Comment=1K
Change Component Comment : Designator=R9 Old Comment=R510K New Comment=R510
Change component parameters: Designator = "R25" ("R25"); Footprint = "0603"; UniqueID = "\UIDCHZFB" ("\UIDCHZFB")
Change component parameters (AddParameter): Name = "Package / Case"; Value = "4-SMD, Gull Wing"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "TapeAndReel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "LTV-817S-TA1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Status"; Value = "Active"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Price"; Value = "0.12"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Rise / Fall Time (Typ)"; Value = "4µs, 3µs"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Series"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "DigiKey"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Device Package"; Value = "4-SMD"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "160-1893-1-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Vce Saturation (Max)"; Value = "200mV"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage - Forward (Vf) (Typ)"; Value = "1.2V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage - Isolation"; Value = "5000Vrms"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage - Output (Max)"; Value = "35V"; VariantName = "[No Variations]"
Change component parameters: Designator = "D2" ("D2"); Footprint = "LED 0805_2012 RED"; UniqueID = "\EXKKXOJZ" ("\EXKKXOJZ")
Change component parameters (AddParameter): Name = "Color"; Value = "Blue"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.dialightsignalsandcomponents.com/Assets/Brochures_And_Catalogs/Indication/CBI_SMD_new/Dialight_CBI_data_599-0805_Apr2018.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "DigiKey Link"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "http://digikey.com/product-detail/en/dialight/5990191007F/350-4359-1-ND/9385465"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Configuration"; Value = "Standard"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current - Test"; Value = "20mA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Package"; Value = "0805 (2012 Metric)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height (Max)"; Value = "0.80mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LastUpdated"; Value = "02/09/2020 01:20:30"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lens Color"; Value = "0.80mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lens Size"; Value = "1.40mm x 1.25mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lens Style"; Value = "Rectangle with Flat Top"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lifecycle Status"; Value = "Active"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Dialight"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Millicandela Rating"; Value = "105mcd"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Minimum Order"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Type"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package / Case"; Value = "0805 (2012 Metric)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "TapeAndReel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "5990191007F"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Status"; Value = "Active"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PartId"; Value = "759"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Price"; Value = "0.10"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Series"; Value = "599"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Size / Dimension"; Value = "2.00mm L x 1.25mm W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "DigiKey"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Device Package"; Value = "0805"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "350-4359-1-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "Blue"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Viewing Angle"; Value = "140°"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage - Forward (Vf) (Typ)"; Value = "3.2V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Wavelength - Dominant"; Value = "470nm"; VariantName = "[No Variations]"
Added Component: Designator=B1(KEYSTONE 1043)
Add component (AddParameter): Name = "Battery Cell Size"; Value = "18650"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Battery Type, Function"; Value = "Cylindrical, Holder"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "http://keyelco.com/userAssets/file/M65p27.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "DigiKey Link"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "http://digikey.com/product-detail/en/keystone-electronics/1043/36-1043-ND/2745669"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height Above Board"; Value = "0.585" (14.86mm)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LastUpdated"; Value = "02/02/2020 09:19:56"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lifecycle Status"; Value = "Active"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Keystone Electronics"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Minimum Order"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Type"; Value = "PCB, Through Hole"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Cells"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Temperature"; Value = "-50°C ~ 145°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Unknown"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "1043"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Status"; Value = "Active"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PartId"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Price"; Value = "2.58"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Series"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Style"; Value = "Holder (Open)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "DigiKey"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "36-1043-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Termination Style"; Value = "PC Pin"; VariantName = "[No Variations]"
Added Component: Designator=C32(6-0805_N)
Add component (AddParameter): Name = "LatestRevisionDate"; Value = "17-Jul-2002"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LatestRevisionNote"; Value = "Re-released for DXP Platform."; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageDescription"; Value = "Radial Cap, Thru-Hole; 2 Leads; 0.3 in Pin Spacing"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageReference"; Value = "RAD-0.3"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Published"; Value = "8-Jun-2000"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "22uF_6.3V"; VariantName = "[No Variations]"
Added Component: Designator=C37(6-0805_N)
Add component (AddParameter): Name = "LatestRevisionDate"; Value = "17-Jul-2002"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LatestRevisionNote"; Value = "Re-released for DXP Platform."; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageDescription"; Value = "Radial Cap, Thru-Hole; 2 Leads; 0.3 in Pin Spacing"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageReference"; Value = "RAD-0.3"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Published"; Value = "8-Jun-2000"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "22uF_6.3V"; VariantName = "[No Variations]"
Added Component: Designator=C38(6-0805_N)
Add component (AddParameter): Name = "LatestRevisionDate"; Value = "17-Jul-2002"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LatestRevisionNote"; Value = "Re-released for DXP Platform."; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageDescription"; Value = "Radial Cap, Thru-Hole; 2 Leads; 0.3 in Pin Spacing"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageReference"; Value = "RAD-0.3"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Published"; Value = "8-Jun-2000"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "22uF_6.3V"; VariantName = "[No Variations]"
Added Component: Designator=C39(6-0805_N)
Add component (AddParameter): Name = "LatestRevisionDate"; Value = "17-Jul-2002"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LatestRevisionNote"; Value = "Re-released for DXP Platform."; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageDescription"; Value = "Radial Cap, Thru-Hole; 2 Leads; 0.3 in Pin Spacing"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageReference"; Value = "RAD-0.3"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Published"; Value = "8-Jun-2000"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "22uF_6.3V"; VariantName = "[No Variations]"
Added Component: Designator=C40(0603)
Add component (AddParameter): Name = "LatestRevisionDate"; Value = "17-Jul-2002"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LatestRevisionNote"; Value = "Re-released for DXP Platform."; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageDescription"; Value = "Radial Cap, Thru-Hole; 2 Leads; 0.3 in Pin Spacing"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageReference"; Value = "RAD-0.3"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Published"; Value = "8-Jun-2000"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "10uF"; VariantName = "[No Variations]"
Added Component: Designator=C41(0603)
Add component (AddParameter): Name = "LatestRevisionDate"; Value = "17-Jul-2002"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LatestRevisionNote"; Value = "Re-released for DXP Platform."; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageDescription"; Value = "Radial Cap, Thru-Hole; 2 Leads; 0.3 in Pin Spacing"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageReference"; Value = "RAD-0.3"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Published"; Value = "8-Jun-2000"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "22uF"; VariantName = "[No Variations]"
Added Component: Designator=C42(0603)
Add component (AddParameter): Name = "LatestRevisionDate"; Value = "17-Jul-2002"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LatestRevisionNote"; Value = "Re-released for DXP Platform."; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageDescription"; Value = "Radial Cap, Thru-Hole; 2 Leads; 0.3 in Pin Spacing"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageReference"; Value = "RAD-0.3"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Published"; Value = "8-Jun-2000"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "10uF"; VariantName = "[No Variations]"
Added Component: Designator=C43(0603)
Add component (AddParameter): Name = "LatestRevisionDate"; Value = "17-Jul-2002"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LatestRevisionNote"; Value = "Re-released for DXP Platform."; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageDescription"; Value = "Radial Cap, Thru-Hole; 2 Leads; 0.3 in Pin Spacing"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageReference"; Value = "RAD-0.3"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Published"; Value = "8-Jun-2000"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "22uF"; VariantName = "[No Variations]"
Added Component: Designator=C44(0603)
Add component (AddParameter): Name = "LatestRevisionDate"; Value = "29-May-2009"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LatestRevisionNote"; Value = "IPC-7351 Footprint Added."; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageDescription"; Value = "Chip Capacitor"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageReference"; Value = "C1206"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Published"; Value = "8-Jun-2000"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "100pF"; VariantName = "[No Variations]"
Added Component: Designator=IC1(DIODES SOT-23-3)
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "https://www.diodes.com/assets/Datasheets/ds30149.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "DigiKey Link"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "http://digikey.com/product-detail/en/diodes-incorporated/BSS84-7-F/BSS84-FDICT-ND/717844"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Current - Continuous Drain (Id) @ 25°C"; Value = "130mA (Ta)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Drain to Source Voltage (Vdss)"; Value = "50V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Drive Voltage (Max Rds On,  Min Rds On)"; Value = "5V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "FET Type"; Value = "P-Channel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Input Capacitance (Ciss) (Max) @ Vds"; Value = "45pF @ 25V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LastUpdated"; Value = "02/09/2020 01:25:04"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lifecycle Status"; Value = "Active"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Diodes Incorporated"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Minimum Order"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Type"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Temperature"; Value = "-55°C ~ 150°C (TJ)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package / Case"; Value = "TO-236-3, SC-59, SOT-23-3"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "TapeAndReel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "BSS84-7-F"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Status"; Value = "Active"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Dissipation (Max)"; Value = "300mW (Ta)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Price"; Value = "0.03"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Rds On (Max) @ Id, Vgs"; Value = "10Ohm @ 100mA, 5V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Series"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "DigiKey"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Device Package"; Value = "SOT-23-3"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "BSS84-FDICT-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Technology"; Value = "MOSFET (Metal Oxide)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Vgs (Max)"; Value = "±20V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Vgs(th) (Max) @ Id"; Value = "2V @ 1mA"; VariantName = "[No Variations]"
Added Component: Designator=J6(ASSMANN A-2004-2-4-LP_FS)
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.assmann-wsw.com/fileadmin/datasheets/ASS_7039_CO.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "DigiKey Link"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "http://digikey.com/product-detail/en/assmann-wsw-components/A-2004-2-4-LP-FS-N-R/AE10386-ND/2183637"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Connector Type"; Value = "Jack"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Contact Finish"; Value = "Gold"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Contact Material"; Value = "Phosphor Bronze"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Features"; Value = "Board Lock"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LastUpdated"; Value = "15/01/2020 03:58:34"; VariantName = "[No Variations]"
